route_idx,route_name,svc,region_idx,region,sort_idx,carriers,port_rotation,frequency,duration,ships,updated_at
1,China-Japan 1 (CJ1) / China-Korea-Japan (CJ1) - China leg,CJ1,1,K/C/J,1,CK Line / Pancon,"Ningbo,Shanghai,Busan,Niigata,Toyama,Kanazawa,Ulsan,Busan,Kwangyang,Ningbo",7,14,"2 x 1,009 teu",
2,Korea-North China-Japan service (CKJ) - China leg,CKJ/CKJ1,2,K/C/J,1,KMTC,"Xingang,Dalian,Pohang,Busan,Naoetsu,Toyama,Niigata,Ulsan,Busan,Xingang",7,14,"2 x 1,005 teu",
3,New China Japan (NCJ) - China leg,NCJ,3,K/C/J,1,KMTC / Namsung ,"Busan,Ulsan,Kwangyang,Xingang,Qingdao,Busan,Shimizu,Onahama,Sendai,Kamaishi,Niigata,Sakaiminato,Busan",7,21,"3 x 1,049 teu",
4,New China Qingdao (NCQ) - China leg,NCQ,4,K/C/J,1,KMTC / Namsung,"Busan,Ulsan,Kwangyang,Qingdao,Dalian,Busan,Niigata,Akita,Tomakomai,Hachinohe,Sendai,Hitachinaka,Busan",7,35,"5 x 1,048 teu",
5,New Tohoku Pendulum (NTP) - China leg,NTP,5,K/C/J,1,Namsung / KMTC ,"Shanghai,Ningbo,Busan,Kawasaki,Hitachinaka,Sendai,Tomakomai,Ishikari,Sakata,Sakaiminato,Busan,Ulsan,Kwangyang,Shanghai",7,21,3 x 975 teu,
6,North China Korea (NCK) - China leg,NCK,6,K/C/J,1,Namsung / Dong Young ,"Busan,Incheon,Dalian,Yantai,Gunsan,Busan,Yokohama,Tokyo,Shimizu,Nagoya,Busan",7,14,"2 x 1,009 teu",
7,Trilateral Sea-highway PanStar Service (TSPS) - China leg,PAGE,7,K/C/J,1,Panstar,"Busan,Shidao,Busan,Tokyo,Nagoya,Busan",7,7,1 x 264 teu,
8,China-Japan 1 (CJ1) / China-Korea-Japan (CJ1) - Japan leg,CJ1,8,K/C/J,1,CK Line / Pancon,"Ningbo,Shanghai,Busan,Niigata,Toyama,Kanazawa,Ulsan,Busan,Kwangyang,Ningbo",7,14,"2 x 1,009 teu",
9,Korea-North China-Japan service (CKJ) - Japan leg,CKJ/CKJ1,9,K/C/J,1,KMTC,"Xingang,Dalian,Pohang,Busan,Naoetsu,Toyama,Niigata,Ulsan,Busan,Xingang",7,14,"2 x 1,005 teu",
10,New China Japan (NCJ) - Japan leg,NCJ,10,K/C/J,1,KMTC / Namsung ,"Busan,Ulsan,Kwangyang,Xingang,Qingdao,Busan,Shimizu,Onahama,Sendai,Kamaishi,Niigata,Sakaiminato,Busan",7,21,"3 x 1,049 teu",
11,New China Qingdao (NCQ) - Japan leg,NCQ,11,K/C/J,1,KMTC / Namsung,"Busan,Ulsan,Kwangyang,Qingdao,Dalian,Busan,Niigata,Akita,Tomakomai,Hachinohe,Sendai,Hitachinaka,Busan",7,35,"5 x 1,048 teu",
12,New Tohoku Pendulum (NTP) - Japan leg,NTP,12,K/C/J,1,Namsung / KMTC ,"Shanghai,Ningbo,Busan,Kawasaki,Hitachinaka,Sendai,Tomakomai,Ishikari,Sakata,Sakaiminato,Busan,Ulsan,Kwangyang,Shanghai",7,21,3 x 975 teu,
13,North China Korea (NCK) - Japan leg,NCK,13,K/C/J,1,Namsung / Dong Young ,"Busan,Incheon,Dalian,Yantai,Gunsan,Busan,Yokohama,Tokyo,Shimizu,Nagoya,Busan",7,14,"2 x 1,009 teu",
14,Trilateral Sea-highway PanStar Service (TSPS) - Japan leg,PAGE,14,K/C/J,1,Panstar,"Busan,Shidao,Busan,Tokyo,Nagoya,Busan",7,7,1 x 264 teu,
15,Wuhan-Japan service,WJP,15,K/C/J,1,Wuhan Xingang Datong,"Wuhan,Shanghai,Busan,Moji,Nagoya,Osaka,Kobe,Yangzhou,Tokyo,Yokohama,Busan,Nanjing,Wuhan (irregular rotations)",7,7,1 x 556 teu,
16,Japan Philippines service (JPH)) - Northbound,JPHN,16,K/C/J,1,ONE,"Busan,Nagoya,Yokkaichi,Shimizu,Tokyo,Yokohama,Osaka,Kobe,Busan,Manila,Busan",7,21,"3 x 2,616 teu",
17,Origami - Northbound,ORIGMR,17,K/C/J,1,MSC,"Tokyo,Yokohama,Yokkaichi,Nagoya,Busan,Cai Mep,Singapore,Kaohsiung,Busan,Tokyo",7,35,"5 x 4,578 teu",
18,Japan Philippines service (JPH)) - Southbound,JPHS,18,K/C/J,1,ONE,"Busan,Nagoya,Yokkaichi,Shimizu,Tokyo,Yokohama,Osaka,Kobe,Busan,Manila,Busan",7,21,"3 x 2,616 teu",
19,Origami - Southbound,ORIGAMI A,19,K/C/J,1,MSC,"Tokyo,Yokohama,Yokkaichi,Nagoya,Busan,Cai Mep,Singapore,Kaohsiung,Busan,Tokyo",7,35,"5 x 4,578 teu",
20,Asia Shuttle 4 (A04) / Bohai Shuttle 1 (BS1),A04,1,China,2,Maersk/Hapag-Lloyd,"Dalian,Xingang,Busan,Shanghai,Dalian",7,14,"2 x 4,928 teu",
21,Bohai Feeder X-Press 1 (BHF1),BH2,2,China,2,X-Press Feeders,"Busan,Xingang,Busan",7,7,"1 x 2,741 teu",
22,Bohai Feeder X-Press 2 (BHF2),BH3,3,China,2,X-Press Feeders,"Busan,Dalian,Busan",7,7,"1 x 2,474 teu",
23,Bohai-Seto Service 1 (BSS1),BSS1,4,China,2,Sinokor,"Kwangyang,Dalian,Xingang,Busan,Kwangyang",7,7,"1 x 1,118 teu",
24,Busan Nanjing Service (BNJ),BNJ,5,China,2,Dong Young Shg,"Nanjing,Zhangjiagang,Busan,Kwangyang,Nanjing",7,7,1 x 834 teu,
25,Busan Route (JW21),JWK,6,China,2,Tangshan Hede ,"Busan,Weifang,Tangshan,Busan",7,7,1 x 338 teu,
26,Busan Shanghai Ningbo service (BSN),BSN,7,China,2,Namsung Shipping,"Shanghai,Busan,Ulsan,Kwangyang,Ningbo,Shanghai",7,7,1 x 952 teu,
27,Busan Xingang Qingdao Service (BXQ),BXQ,8,China,2,Namsung Shipping,"Busan,Ulsan,Kwangyang,Xingang,Busan",7,7,"1 x 1,043 teu",
28,Busan-China service,RSL,9,China,2,Rong Shang Logistics,"Taicang,Qingdao,Incheon,Busan,Taicang",7,7,"1 x 1,113 teu",
29,Busan-Dalian-Weihai,,10,China,2,Doowoo,"Busan,Dalian,Weihai,Busan",7,7,1 x 718 teu,
30,Busan-Incheon-Shanghai Service (AK8),AK8,11,China,2,COSCO (Coheung),"Busan,Incheon,Shanghai,Busan",7,7,"1 x 1,432 teu",
31,Busan-Lianyungang-Qingdao Service (AK7),AK4,12,China,2,COSCO (Coheung),"Busan,Lianyungang,Qingdao,Busan",7,7,"1 x 1,702 teu",
32,Busan-Shanghai-Ningbo Service (AK6),AK6,13,China,2,COSCO (Coheung),"Busan,Ningbo,Shanghai,Busan",7,7,"1 x 1,432 teu",
33,Busan-Xingang Service (AK3),AK3,14,China,2,COSCO (Coheung),"Busan,Xingang,Busan",7,7,"1 x 4,253 teu",
34,China Korea Shuttle (CKS1),CKS1,15,China,2,SITC,"Rizhao,Lianyungang,Qingdao,Tokyo,Yokohama,Tokyo,Busan,Lianyungang,Qingdao,Nagoya,Rizhao",7,14,2 x 959 teu,
35,China Shuttle 2/Busan Lianyungang Qingdao service (CNS2/BLQ),CNS2,16,China,2,KMTC,"Busan,Ulsan,Kwangyang,Lianyungang,Qingdao,Busan",7,7,"1 x 1,103 teu",
36,China-Korea Express 1 (CKX1),CKX1,17,China,2,Sinokor,"Busan,Ulsan,Kwangyang,Ningbo,Busan",7,7,"1 x 1,060 teu",
37,Japan-Hong Kong-Taiwan North (JHTN),JHTN,18,China,2,TSL,"Hong Kong,Shekou,Xiamen,Osaka,Kobe,Busan,Kwangyang,Keelung,Kaohsiung,Hong Kong",7,14,"2 x 1,081 teu",
38,Kansai/Kyushu Service (TKX3/TJS1/TKU2/TPX1),TCL,19,China,2,Taicang Container Lines,"Lianyungang,Dafeng,Nanjing,Taicang,Hakata,Moji,Osaka,Kobe,Hiroshima,Busan,Lianyungang,",7,14,2 x 823 teu,
39,Korea China Express 2 (KCE2) / Qingdao Pusan Express (QPX),KCE2/QPX,20,China,2,EAS International Shipping ,"Busan,Kwangyang,Qingdao,Lianyungang,Busan",7,7,"1 x 1,675 teu",
40,Korea China Japan (KCJ),KCJ,21,China,2,Dongjin Shipping,"Busan,Kwangyang,Ningbo,Shanghai,Hakata,Kitakyushu,Busan",7,7,"1 x 1,003 teu",
41,Korea-China (Xingang/Dalian) (DLC),TPX2,22,China,2,EAS International Shipping ,"Busan,Kwangyang,Xingang,Dalian,Busan",7,7,"1 x 1,141 teu",
42,Korea-China (Yantai/Xingang) (YNT),TPX1/YNT,23,China,2,EAS International Shipping ,"Busan,Kwangyang,Yantai,Xingang,Busan",7,7,"1 x 1,730 teu",
43,Korea-China service 1,,24,China,2,Sofast Shipping,"Busan,Kwangyang,Qingdao,Weihai,Busan",7,7,1 x 360 teu,
44,Korea-Qingdao Pusan (KQP),KQP,25,China,2,Pan Continental ,"Busan,Kwangyang,Yantai,Qingdao,Busan",7,7,"1 x 1,009 teu",
45,Korea-Qingdao service (KQS),KQS,26,China,2,Sinokor,"Busan,Ulsan,Kwangyang,Qingdao,Busan",7,7,"1 x 1,809 teu",
46,Korea-Qingdao service 2 (NBQ),NBQ,27,China,2,Pan Ocean,"Busan,Kwangyang,Qingdao,Gunsan,Busan",7,7,"1 x 1,015 teu",
47,Korea-Taiwan-Hong Kong service (KTH),KTH,28,China,2,KMTC / TSL,"Incheon,Busan,Kwangyang,Keelung,Taichung,Hong Kong,Kaohsiung,Taichung,Keelung,Kwangyang,Incheon",7,14,"2 x 1,573 teu",
48,Korea-Xingang service (KXS1),KXS1,29,China,2,Sinokor,"Busan,Ulsan,Kwangyang,Xingang,Busan",7,7,"1 x 1,809 teu",
49,Nanjing Korea Express (NKX),NKX,30,China,2,Sinokor,"Busan,Kwangyang,Nanjing,Zhangjiagang,Busan",7,7,"1 x 1,080 teu",
50,Nanjing/Zhanjiagang-Korea (KCN1),KCN1,31,China,2,Sinotrans,"Busan,Kwangyang,Nanjing,Zhangjiagang,Busan",7,7,1 x 907 teu,
51,Nanjing/Zhanjiagang-Korea (KCN2),KCN2,32,China,2,Sinotrans,"Nanjing,Zhangjiagang,Busan,Nanjing",7,7,1 x 907 teu,
52,Nanjing-Busan Service ,NTP,33,China,2,Wuhan Xingang Datong,"Nanjing,Taizhou,Busan,Nanjing",7,7,1 x 556 teu,
53,New Busan Shanghai (NBS),NBS,34,China,2,Pan Ocean,"Busan,Kwangyang,Ningbo,Shanghai,Busan",7,7,1 x 708 teu,
54,New China Service (NCS),NCS,35,China,2,CK Line,"Busan,Ulsan,Kwangyang,Shanghai,Ningbo,Busan",7,7,"1 x 1,050 teu",
