route_idx,route_name,svc,region_idx,region,sort_idx,carriers,port_rotation,frequency,duration,ships,updated_at
104,Shikoku Express Service 2 (SKX2),SKX2,44,Japan,3,Sinokor,"Busan,Tokuyama Kudamatsu,Iyomishima,Imabari,Matsuyama,Mizushima,Iwakuni,Busan",7,7,1 x 698 teu,
105,Tohoku Hokkaido Service 2 (THS2),THS2,45,Japan,3,Heung-A,"Busan,Sendai,Hachinohe,Tomakomai,Ishikariwan,Maizuru,Sakaiminato,Busan,Shimizu,Kashima,Hitachinaka,Sendai,Hachinohe,Tomakomai,Sakata,Busan",7,7,"1 x 1,003 teu",
106,Tohoku Hokkaido Service 3 (THS3),THS3,46,Japan,3,Sinokor,"Busan,Tomakomai,Sendai,Busan",7,7,"1 x 1,054 teu",
107,Tohoku Hokkaido Service 4 (THS4),THS4,47,Japan,3,Sinokor,"Busan,Naoetsu,Akita,Niigata,Busan",7,7,1 x 706 teu,
108,Tohoku Hokkaido Service 5 (THS5),THS5,48,Japan,3,Heung-A,"Busan,Ishikari,Tomakomai,Akita,Busan",7,7,"1 x 1,003 teu",
109,Golden Horn Service,GHRN,1,Russia,4,MSC,"Busan,Vladivostok,Busan",7,7,"1 x 1,118 teu",
110,North China-Russia (STF-2),GBS,2,Russia,4,STF Shipping,"Rizhao,Ningbo,Busan,Vostochny,Rizhao",7,7,"1 x 1,100 teu",
111,Xingang/Dalian-Russia (STF-1),GBS,3,Russia,4,STF Shipping,"Dalian,Xingang,Busan,Vostochny,Dalian",7,7,"1 x 2,206 teu",
112,Japan Trans Siberian Line (JTSL),JRX,4,Russia,4,FESCO,"Vladivostok,Yokohama,Nagoya,Kobe,Busan,Toyama,Vladivostok",7,7,1 x 495 teu,
113,FESCO Korea Express-1 (FKXP-1 ),KRS,5,Russia,4,FESCO,"Busan,Vladivostok,Busan",7,28,"4 x 2,173 teu",
114,Japan-Korea-FE Russia service (Sunrise),SRISEA,6,Russia,4,MSC,"Busan,Vostochny,Busan",7,7,"1 x 1,550 teu",
115,Korea Russia Express (KRX),KRX,7,Russia,4,Dong Young ,"Busan,Vladivostok,Busan",7,14,2 x 761 teu,
116,Pusan-Vladivostok shuttle (PVS2),PVS2,8,Russia,4,Sinokor,"Busan,Vladivostok,Busan",7,14,"2 x 1,464 teu",
117,Busan Russia Express (BRX),BRX,9,Russia,4,CK Line,"Busan,Vladivostok,Busan",7,7,1 x 679 teu,
118,Busan Vladivostok Service (BVS),BVS,10,Russia,4,Transit,"Xiamen,Nansha,Busan,Vladivostok,Xiamen",7,21,"3 x 1,082 teu",
119,China-Russia Service (CRS),CRS,11,Russia,4,Vuxx Shipping,"Busan,Xingang,Rizhao,Ningbo,Shanghai,Vladivostok,Vostochny,Busan",7,14,"2 x 1,354 teu",
120,Haiphong-Busan Service 1 (HPS1) Northbound,HPS1,12,Russia,4,Sinokor / Heung-A ,"Busan,Ulsan,Kwangyang,Hong Kong,Haiphong,Hong Kong,Shekou,Xiamen,Busan,Vladivostok,Busan",7,21,"3 x 1,093 teu",
121,Panda Express Line 2,,13,Russia,4,Panda Express Line,"Xingang,Shanghai,Busan,Nakhodka,Rizhao,Ningbo,Busan,Nakhodka,Xingang",7,7,"1 x 1,395 teu",
122,Shanghai Russia Service (SRS),SRS,14,Russia,4,Sinokor,"Busan,Shanghai,Ningbo,Vladivostok,Busan",7,7,"1 x 1,577 teu",
123,Taicang-Vladivostok 1 (TV1),,15,Russia,4,Hua Xin,"Taicang,Ningbo,Qingdao,Busan,Vladivostok,Vostochny,Taicang",7,7,1 x 937 teu,
124,Asia New Express (ANX/ANE),ANX,1,SE Asia,5,Namsung Shipping,"Incheon,Busan,Ulsan,Shanghai,Ho Chi Minh City,Laem Chabang,Jakarta,Ho Chi Minh City,Hong Kong,Shekou,Incheon",7,28,"4 x 2,617 teu",
125,Asia Shuttle 14 (A14) /Bohai Shuttle 5 (BS5),A14,2,SE Asia,5,Maersk/Hapag-Lloyd,"Xingang,Tanjung Pelepas,Singapore,Xiamen,Busan,Xingang",7,28,"4 x 4,444 teu",
126,Asia Shuttle 5 (A05) / Korea Shuttle 1 (KS1),A05,3,SE Asia,5,Maersk/Hapag-Lloyd,"Kwangyang,Busan,Tanjung Pelepas,Singapore,Kwangyang",7,21,"3 x 4,578 teu",
127,Bohai Manila Express (BMX),BMX,4,SE Asia,5,CMA CGM,"Busan,Dalian,Xingang,Qingdao,Xiamen,Shantou,Shekou,Hong Kong,Nansha,Manila(N/S),Davao,Busan",7,35,"5 x 3,569 teu",
128,Busan Incheon Haiphong (BIH),BIH,5,SE Asia,5,Pan Continental Shipping,"Busan,Kwangyang,Incheon,Hong Kong,Haiphong,Hong Kong,Busan",7,14,"2 x 1,011 teu",
129,Busan-Thailand Saigon (BTS),BTS,6,SE Asia,5,Heung-A,"Pyongtaek,Kwangyang,Busan,Shanghai,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Ho Chi Minh City,Pyongtaek",7,21,"3 x 1,809 teu",
130,China Japan Vietnam 2 (CJV2),CJV2,7,SE Asia,5,SITC,"Shanghai,Osaka,Kobe,Yokkaichi,Nagoya,Busan,Shanghai,Haiphong,Shekou,Shanghai",7,21,"3 x 1,036 teu",
131,China Japan Vietnam 3 (CJV3),CJV3,8,SE Asia,5,SITC,"Shanghai,Tokyo,Kawasaki,Yokohama,Shimizu,Busan,Shanghai,Xiamen,Haiphong,Shanghai",7,21,"3 x 1,026 teu",
132,China Korea Malaysia service (KCM2),KCM2S,9,SE Asia,5,CNC,"Xingang,Busan,Qingdao,Shanghai,Shantou,Shekou,Port Klang,Penang,Port Klang,Singapore,Nansha,Shanghai,Qingdao,Xingang",7,35,"5 x 4,334 teu",
133,China Southeast Asia Service (CSE),CSE1,10,SE Asia,5,CNC,"Dalian,Incheon,Shanghai,Ningbo,Laem Chabang,Bangkok,Laem Chabang,Manila,Qui Nhon,Chu Lai,Busan,Dalian",7,35,"5 x 1,786 teu",
134,DOLPHIN service,DPHIN,11,SE Asia,5,MSC,"Busan,Qingdao,Dalian,Xingang,Kaohsiung,Shekou,Port Klang,Singapore,Semarang,Surabaya,Singapore,Haiphong,Busan",7,42,"6 x 2,932 teu",
135,Far East to Malaysia (FEM),FEM,12,SE Asia,5,Sinokor / Heung-A / SITC ,"Busan,Ulsan,Kwangyang,Shanghai,Port Klang Northport,Penang,Hong Kong,Shanghai,Busan",7,28,"4 x 2,416 teu",
136,Haiphong Express (HPX),HPX,13,SE Asia,5,CK Line,"Incheon,Busan,Haiphong,Qinzhou,Xiamen,Incheon",7,14,"2 x 1,005 teu",
137,Haiphong-Busan Service 1 (HPS1) Southbound,HPS1,14,SE Asia,5,Sinokor / Heung-A ,"Busan,Ulsan,Kwangyang,Hong Kong,Haiphong,Hong Kong,Shekou,Xiamen,Busan,Vladivostok,Busan",7,21,"3 x 1,093 teu",
138,Haiphong-Busan Service 2 (HPS2),HPS2,15,SE Asia,5,Sinokor / Heung-A ,"Incheon,Ulsan,Busan,Haiphong,Shekou,Incheon",7,14,"2 x 1,099 teu",
139,HP2 service,HP2,16,SE Asia,5,Sealand Asia,"Busan,Kwangyang,Shanghai,Xiamen,Kaohsiung,Hong Kong,Haiphong,Nansha,Hong Kong,Kaohsiung,Busan",7,21,"3 x 2,235 teu",
140,ICN (Intra Cross Network) - Southbound / Indonesia loop,ICN,17,SE Asia,5,HMM,"Busan,Shanghai,Ningbo,Ho Chi Minh City,Laem Chabang,Incheon,Busan,Jakarta,Surabaya,Busan",7,42,"6 x 1,932 teu",
141,ICN (Intra Cross Network) - Westbound / Vietnam/Thailand loop,ICN,18,SE Asia,5,HMM,"Busan,Shanghai,Ningbo,Ho Chi Minh City,Laem Chabang,Incheon,Busan,Jakarta,Surabaya,Busan",7,42,"6 x 1,932 teu",
142,Incheon-Haiphong Express 2 (IHP2),IHP2,19,SE Asia,5,Heung-A,"Busan,Incheon,Hong Kong,Haiphong,Hong Kong,Busan",7,14,"2 x 1,103 teu",
143,Intra-Asia service 88 (IA88),IA88S,20,SE Asia,5,Sealand Asia,"Laem Chabang,Bangkok,Laem Chabang,Haiphong,Hong Kong,Nansha,Yokohama,Nagoya,Osaka,Kobe,Moji,Hibiki,Busan,Hakata,Shanghai,Ningbo,Ho Chi Minh City,Laem Chabang",7,35,"5 x 2,171 teu",
144,Japan (Kansai)-Taiwan-Vietnam service (JSV),JSV,21,SE Asia,5,WH,"Danang,Ho Chi Minh City,Kaohsiung,Taipei,Hakata,Kobe,Osaka,Ulsan,Busan,Keelung,Kaohsiung,Danang",7,21,"3 x 2,038 teu",
145,Japan Thailand Vietnam South China South Korea Express (JTVSCSE),JTVS,22,SE Asia,5,CNC,"Tokyo,Yokohama,Nagoya,Kobe,Busan,Kwangyang,Kaohsiung,Chu Lai,Laem Chabang,Ho Chi Minh City,Tokyo",7,28,"4 x 1,827 teu",
146,Japan Vietnam Haiphong (JVH),JVH,23,SE Asia,5,ONE,"Tokyo,Shimizu,Nagoya,Kobe,Busan,Keelung,Kaohsiung,Haiphong,Kaohsiung,Hakata,Tokyo",7,21,"3 x 1,708 teu",
147,Japan-China-Vietnam-Thailand service (VTX1),VTX1,24,SE Asia,5,SITC,"Sakai Senboku,Osaka,Kobe,Busan,Shanghai,Xiamen,Ho Chi Minh City,Sihanoukville,Laem Chabang,Xiamen,Shanghai,Sakai Senboku",7,28,"4 x 1,799 teu",
148,KMTC Heung-A Sinokor Thailand 1 (KHS1)/Korea-Hochiminh Service 1 (KHS 1),KHS1,25,SE Asia,5,Heung-A / Sinokor / KMTC ,"Busan,Ulsan,Kwangyang,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Ho Chi Minh City,Busan",7,21,"3 x 1,726 teu",
149,Korea China Indonesia (KCI),KCI,26,SE Asia,5,ONE/Namsung/TSL/SITC,"Busan,Qingdao,Shanghai,Ningbo,Jakarta,Surabaya,Shekou,Xiamen,Busan",7,28,"4 x 2,612 teu",
150,Korea China Malaysia 3 (KCM3) / Korea China Straits (KCS) /  West Malaysia (FEM2) / Korea-China-SE Asia Express (KCX),KCM3,27,SE Asia,5,KMTC / ONE / SITC / YM ,"Busan,Shanghai,Xiamen,Singapore,Port Klang Westport,Pasir Gudang,Laem Chabang,Shekou,Busan",7,28,"4 x 2,648 teu",
151,Korea Haiphong Express (KHX),KHX,28,SE Asia,5,SMLine / Dong Young ,"Incheon,Kwangyang,Busan,Haiphong,Xiamen,Incheon",7,14,"2 x 1,071 teu",
152,Korea Philippines Express (KPX) / Korea Manila Vietnam (KMV),KPX,29,SE Asia,5,KMTC / Namsung,"Incheon,Pyongtaek,Kwangyang,Pohang,Busan,Manila North,Ho Chi Minh City,Hong Kong,Shekou,Incheon",7,21,"3 x 1,734 teu",
153,Korea Shanghai Haiphong (KSH),KSH,30,SE Asia,5,KMTC / CK Line ,"Busan,Kwangyang,Shanghai,Haiphong,Shantou,Fuzhou,Busan",7,14,"2 x 1,000 teu",
